theta
-0.0652666
-0.0711741
-0.064844
-0.0768428
-0.0706457
-0.0771944
-0.06959
-0.0746532
-0.0755714
-0.0696546
-0.0705802
-0.0697192
-0.0669389
-0.0748365
-0.0683485
-0.0687288
-0.0733302
-0.0700606
-0.0772652
-0.0715721
-0.0666297
-0.0712416
-0.0729043
-0.0659507
-0.0603356
-0.0691778
-0.0582135
-0.0581063
-0.0587558
-0.0610352
-0.0561105
-0.0563695
-0.0612615
-0.0622451
-0.0596307
-0.0666297
-0.0640981
-0.0658896
-0.0690489
-0.0687619
-0.066753
-0.072097
-0.0661963
-0.0684748
-0.0655857
-0.0781984
-0.0767719
-0.082912
-0.0766304
-0.0753634
-0.0731531
-0.0732208
-0.0711102
-0.0659507
-0.0670635
-0.0742817
-0.0738709
-0.0761393
-0.0804562
-0.0735611
-0.0723641
-0.0799398
-0.0759908
-0.066012
-0.0723641
-0.076279
-0.071898
-0.0727496
-0.0659507
-0.0693972
-0.073735
-0.0732208
-0.0800131
-0.072097
-0.0771944
-0.0763439
-0.0776932
-0.0785418
-0.0761316
-0.0715058
-0.0694614
-0.080382
-0.0726161
-0.0744888
-0.0603916
-0.0725657
-0.0671884
-0.0638611
-0.0760612
-0.0832948
-0.0781984
-0.0746532
-0.0735611
-0.0733565
-0.0767719
-0.0702546
-0.0672511
-0.0766304
-0.0649642
-0.0713075
-0.0776215
-0.0702546
-0.0766304
-0.0742817
-0.063509
-0.0705896
-0.0766304
-0.0714395
-0.0663843
-0.073939
-0.0744196
-0.0750676
-0.0685659
-0.0732886
-0.0742129
-0.0711102
-0.0757107
-0.0678658
-0.0735995
-0.0695256
-0.073939
-0.0733565
-0.0725495
-0.0673035
-0.0729508
-0.0645774
-0.0648197
-0.0664455
-0.0671799
-0.0703845
-0.0670635
-0.0736672
-0.0715687
-0.0682855
-0.0793157
-0.072097
-0.0657069
-0.0779811
-0.0650245
-0.0788326
-0.0750676
-0.0799781
-0.0704496
-0.0757107
-0.0712416
-0.0750676
-0.0717001
-0.0805305
-0.0843717
-0.0724984
-0.0671884
-0.0696546
-0.0693331
-0.0620149
-0.0732208
-0.0711759
-0.0774786
-0.0729508
-0.0757107
-0.0761316
-0.0611482
-0.0823735
-0.06959
-0.0666913
-0.0724312
-0.0715058
-0.0715058
-0.0723641
-0.0810032
-0.0713734
-0.0610916
-0.0722303
-0.0786143
-0.06288
-0.0686651
-0.0676148
-0.0727496
-0.0676774
-0.0742129
-0.0762023
-0.0712416
-0.0674277
-0.0625935
-0.0741442
-0.0690781
-0.0671182
-0.07755
-0.0793888
-0.0662015
-0.0707771
-0.0732886
-0.0733565
-0.066753
-0.0789788
-0.0700442
-0.0639794
-0.0592448
-0.0714395
-0.0638022
-0.0519495
-0.046435
-0.0491256
-0.0538013
-0.0415657
-0.0426457
-0.0487643
-0.0514252
-0.0389053
-0.0457975
-0.0492624
-0.0561621
-0.0504622
-0.06288
-0.0576641
-0.0668149
-0.0592448
-0.0649041
-0.0655106
-0.0659507
-0.0696546
-0.0691778
-0.0698677
-0.0726828
-0.0776822
-0.0743506
-0.0609789
-0.0686016
-0.0647841
-0.0733565
-0.0850584
-0.0594647
-0.0694614
-0.0686651
-0.0709089
-0.0551358
-0.050237
-0.0594647
-0.0597419
-0.062764
-0.0690781
-0.0626485
-0.0783251
-0.0759206
-0.0789524
-0.0701251
-0.0717719
-0.0689847
-0.0837588
-0.06959
-0.0832948
-0.0797561
-0.0790521
-0.0656463
-0.0819196
-0.0785418
-0.0804562
-0.0832179
-0.0836693
-0.111469
-0.0938197
-0.104685
-0.0950828
-0.104346
-0.104293
-0.105847
-0.104487
-0.112693
-0.103773
-0.111367
-0.108211
-0.108528
-0.103868
-0.0887376
-0.0936785
-0.0898226
-0.0841382
-0.0679101
-0.0676148
-0.0621298
-0.0703845
-0.074929
-0.0728439
-0.0860578
-0.0637036
-0.072446
-0.0688565
-0.0688565
-0.0604749
-0.0716386
-0.0652666
-0.0583752
-0.0783251
-0.0692054
-0.070268
-0.0696758
-0.0625909
-0.0588106
-0.0724312
-0.0656948
-0.063348
-0.066753
-0.0703845
-0.065465
-0.0722303
-0.0533563
-0.0592448
-0.0652846
-0.0577715
-0.0641576
-0.0564737
-0.0640981
-0.0631131
-0.0528755
-0.0621298
-0.0628219
-0.0653446
-0.0701898
-0.0681599
-0.0713734
-0.0713075
-0.0664455
-0.0737667
-0.0728836
-0.072097
-0.0796088
-0.0836035
-0.0803079
-0.0643369
-0.0652846
-0.0704496
-0.0755714
-0.0747667
-0.0670635
-0.0726332
-0.0711102
-0.0769139
-0.0718388
-0.0728836
-0.0658896
-0.0632891
-0.0659507
-0.0771279
-0.070849
-0.081227
-0.0780534
-0.0747909
-0.0742129
-0.0596307
-0.0724312
-0.0724984
-0.0764894
-0.0752765
-0.0650245
-0.0670011
-0.0687926
-0.0615468
-0.0653884
-0.0655857
-0.0574506
-0.0673656
-0.0628219
-0.0646646
-0.0636259
-0.0553451
-0.0589721
-0.0472308
-0.0485147
-0.0537515
-0.0603356
-0.0454233
-0.0492624
-0.0597265
-0.0587011
-0.0601127
-0.0580528
-0.0495917
-0.0632303
-0.0591354
-0.0555498
-0.06288
-0.0603916
-0.0694614
-0.0680553
-0.0728166
-0.0768428
-0.070849
-0.0759206
-0.0746275
-0.0789524
-0.0742817
-0.0744888
-0.0730855
-0.0814706
-0.0828358
-0.0699962
-0.0702546
-0.0745581
-0.0727496
-0.0707114
-0.0680553
-0.0754865
-0.0675523
-0.0832948
-0.0726828
-0.083752
-0.0701251
-0.0880879
-0.0858992
-0.0932473
-0.0935055
-0.0977269
-0.105315
-0.0927563
-0.101519
-0.103145
-0.106997
-0.104442
-0.108628
-0.110759
-0.103429
-0.108828
-0.0956993
-0.095966
-0.089814
-0.0769851
-0.0796824
-0.0800131
-0.0629879
-0.0636259
-0.0644861
-0.0581598
-0.0703195
-0.0793466
-0.0743795
-0.0630547
-0.0728836
-0.0680765
-0.061129
-0.0719728
-0.0744196
-0.0743795
-0.0754326
-0.0771236
-0.0790248
-0.0793888
-0.073939
-0.0713734
-0.0777649
-0.0656333
-0.0736981
-0.0744196
-0.0725657
-0.0742817
-0.0740073
-0.0742435
-0.0781096
-0.0699962
-0.0729508
-0.0746275
-0.0628219
-0.0655719
-0.0754865
-0.0658896
-0.0643369
-0.0743506
-0.0707839
-0.0698677
-0.0717001
-0.0660801
-0.0714395
-0.0684748
-0.0656463
-0.0592996
-0.066012
-0.0620723
-0.0684116
-0.0741442
-0.0711759
-0.0750676
-0.0774786
-0.0664455
-0.0601683
-0.0701251
-0.0564215
-0.0642173
-0.0512133
-0.0710413
-0.0632763
-0.0527776
-0.0643677
-0.0685381
-0.0671182
-0.0606166
-0.0684116
-0.0609789
-0.063407
-0.0639794
-0.0703845
-0.0639202
-0.06288
-0.0619576
-0.0649642
-0.0587558
-0.0593545
-0.0720306
-0.0603356
-0.0620149
-0.0519495
-0.0587558
-0.0619576
-0.0600018
-0.0712407
-0.0610352
-0.0685381
-0.0656463
-0.0641576
-0.0735611
-0.0758505
-0.0701251
-0.0723641
-0.0652059
-0.0723641
-0.0652059
-0.0694614
-0.0748599
-0.0682698
-0.0606988
-0.0649269
-0.0724831
-0.0726332
-0.070719
-0.0751566
-0.0738029
-0.0771944
-0.0748599
-0.0726332
-0.0677401
-0.0612615
-0.0720306
-0.0722303
-0.0692692
-0.0767011
-0.081452
-0.0766304
-0.0724312
-0.0666297
-0.074722
