theta_mean,theta_variance,theta_dot_mean,theta_dot_variance
88.6914,0.0697615,0.0680847,0.0539699
88.7014,0.0646297,0.0745545,0.0584282
88.6908,0.067026,0.0713196,0.0511216
88.682,0.0648476,0.078125,0.0566789
88.6715,0.0656874,0.0726624,0.0587423
88.6962,0.0730353,0.0806885,0.0549587
88.6995,0.0657082,0.0758057,0.0544132
88.6934,0.067236,0.0738831,0.0603758
88.6989,0.0710611,0.0747986,0.0570712
88.6866,0.0695673,0.0729981,0.0498243
