time,theta1,theta2,theta1_dot,theta1_kal,theta2_kal,theta1dot_kal,motor_value
750,-1.0303,0.5495,1.39798,-0.143493,0.5652,1.62544,100
760,-0.43245,0.0942,1.87818,-0.063781,0.1884,1.52641,100
770,0.384934,-0.1884,2.81247,0.024573,-0.1413,2.69682,100
780,0.523443,-1.1461,0.581872,0.226317,-1.0833,0.926255,100
790,0.153772,-1.3816,-1.40011,0.227993,-1.3816,-1.37222,89
800,0.0314612,-1.1147,-2.09112,0.104543,-1.1618,-1.97256,19
810,-0.116994,-0.9734,1.49913,0.00302014,-0.9577,1.15491,69
820,0.542351,-0.8164,-0.448782,0.0694596,-0.8164,0.0118345,100
830,0.410258,-0.4396,-1.20367,0.0368316,-0.4396,-1.36262,100
840,-0.533993,0.0157,-2.90191,-0.0696567,-0.0157,-2.776,39
850,-0.255321,0.2826,-0.0915664,-0.186444,0.2826,-0.23099,92
860,-0.054629,0.2669,0.349762,-0.167835,0.2983,0.341064,100
870,-0.153267,-0.0314,1.31387,-0.132561,0,1.4,100
880,-0.359533,-0.3611,2.72889,-0.0537309,-0.3611,2.75333,100
890,0.594377,-0.942,3.17341,0.113716,-0.8792,3.81205,100
900,0.423184,-1.2717,0.353489,0.296064,-1.2717,0.506555,100
910,0.280581,-1.0362,-0.887981,0.337334,-1.1147,-0.931594,100
920,0.475995,-0.6437,-1.64926,0.302079,-0.7065,-1.55787,100
930,0.240168,-0.2983,-1.97666,0.184984,-0.314,-2.18024,100
940,0.299779,0.1413,-3.20642,0.0270954,0.1099,-2.97253,100
950,-0.494195,0.8164,-1.51936,-0.211183,0.7536,-1.72782,100
960,-0.266868,1.0205,-0.481788,-0.281548,1.0362,-0.445099,100
970,-0.303805,0.7222,0.0979547,-0.312529,0.7222,0.0418247,100
980,-0.262975,0.4553,1.16481,-0.308232,0.4239,1.09291,100
990,-0.399885,0.2198,2.12572,-0.230116,0.2355,1.98323,100
1000,-0.0176883,-0.2198,3.50614,-0.109807,-0.1884,3.53098,100
1010,0.922383,-0.942,2.78692,0.158584,-0.9106,2.73697,100
1020,0.497374,-1.2717,-0.720819,0.288229,-1.2717,-0.747945,100
1030,0.200248,-0.9734,-1.8095,0.232343,-0.9891,-1.81666,100
1040,-0.389214,-0.6437,-1.59868,0.119145,-0.6594,-1.62449,100
1050,-0.228074,-0.1884,-1.79992,-0.0166428,-0.1884,-1.73936,100
1060,-0.42842,0.157,-2.43449,-0.150322,0.1256,-2.50861,26
1070,-0.475601,0.7379,0.697927,-0.320988,0.7065,0.780435,100
1080,-0.49895,0.8949,1.08389,-0.282516,0.8949,1.12815,100
